,Unnamed: 0,Unnamed: 0.1,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Lat,Lon,Year
2288,2288,2288,01/13/1969,19:21,"Off Los Angeles, California",Scandinavian Airlines (SAS),933,Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,LN-MOO,45822,45.0,15.0,0.0,The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named 'Sverre Viking.',34.053691,-118.242766,1969
2290,2290,2290,01/18/1969,18:21,"Off Los Angeles, California",United Air Lines,266,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,N7434U,19891/631,38.0,38.0,0.0,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The crew reported a fire warning in  the No. 1 engine and shut it down. After initiating a turn, the aircraft crashed into the water at high speed. The aircraft was dispatched with one generator inoperative. While this was legal, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Shutting  down the engine took the second generator offline leaving just one generator which became overloaded causing it to trip, resulting in the loss of all electrical power in the aircraft. For reasons undetermined, the battery standby switch was not turned on. At night, in rain, with no lights or instruments, the captain became disoriented and crashed into the PacifiOcean, 11.5 miles west of Los Angeles International Airport, four minutes after its initial takeoff roll. Battery backup for instruments was not required at the time. This crash prompted the FAA to require all transport category aircraft to have a standby attitude indicator which is powered by an independent source. False fire warning which prompted the shutting down of the No. 1 engine. Failure of the crew to unpower the heavy electrical loads before shutting down the No. 1 engine. Failure of UAL to repair the No. 3 generator in a timely manner.",34.053691,-118.242766,1969
2293,2293,2293,02/05/1969,11:45,"Off Batan Islands, Philippines",Military - U.S. Air Force,,,Lockheed C-130H,65-0990,4151,14.0,13.0,0.0,Inadvertent contact with the water during low-level flight over open ocean while searching for survivors.,20.92002,121.90788,1969
2299,2299,2299,03/20/1969,02:00,"Near Aswan, Egypt",United Arab Airlines,,Jeddah - Aswan,Ilyushin IL-18D,SU-APC,188011301,105.0,100.0,0.0,The aircraft crashed and burned while attempting to land  at Aswan Airport for the third time. The pilot descended below minimum safe altitude without having the runway lights clearly in sight. A contributing factor was pilot fatigue.,24.091071,32.897306,1969
2303,2303,2303,04/02/1969,12:40,"Near Quang Tri, South Vietnam",Military - U.S. Army,,,Boeing Vertol CH47C (helicopter),67-18523,,78.0,24.0,0.0,"As the helicopter was taking off in a vertical climb, there was a loss in rotor speed and the aircraft touched down on the edge of a ravine and rolled over causing the rotor blades to strike the ground and a fire to erupt.",,,1969
2305,2305,2305,04/15/1969,13:50,"Off Chongjin, North Korea",Military - U.S. Navy,,,Lockheed EC-121M,135749,4318,31.0,31.0,0.0,The aircraft was shot down over the Sea of Japan by two North Korean MiG jet fighters while making a reconnaissance flight.,41.782929,129.782524,1969
2308,2308,2308,04/21/1969,14:59,"Khulna, Bangladesh",Indian Airlines,,"Silchar, India - Khulna, Bangladesh",Fokker F-27 Friendship 100,VT-DOJ,10214,44.0,44.0,0.0,The aircraft crashed in adverse weather conditions. Windshear. The crew tried to fly through thunderstorms at a low level but lost control in severe downdrafts.,22.937209,89.285274,1969
2310,2310,2310,04/25/1969,16:00,"Near Nakhon Ratchasima , Thailand",Military - U.S. Air Force,Batcat 21,,Lockheed EC121R,67-21493,4489,18.0,18.0,0.0,The aircraft crashed shortly after taking off from Korat Air Base. The plane climbed to about 500 ft. and then slammed into the ground and burst into flames. Severe windshear.,14.974754,102.09293,1969
2313,2313,2313,05/06/1969,13:20,"Near Chon Thanh, South Vietnam",Military - U.S. Army,,,Boeing Vertol CH47A (helicopter),66-19029,,74.0,30.0,0.0,"As the helicopter was taking off, the landing gear became entangled in some wire which dragged the aircraft down and caused it to fall over a cliff.",11.416695,106.619816,1969
2316,2316,2316,05/25/1969,09:52,"Reggio di Calabria, Italy",Aero Transporti Italiani,,Rome - Reggio di Calabria,Fokker F-27 Friendship 600,I-ATIT,10363,36.0,1.0,0.0,Landed short of the runway and hit a wall. Misjudgement by the pilots of the distance between the aircraft and the ground during the final phase of the landing approach.,38.103539,15.639756,1969
2328,2328,2328,07/26/1969,12:33,"AtlantiCity, New Jersey",Trans World Airlines,,Training,Boeing 707-331C,N787TW,18712/373,5.0,5.0,0.0,"Crashed during a missed approach procedure. A loss of directional control, which resulted from the intentional shutdown of the pumps supplying hydraulipressure to the rudder without a concurrent restoration of power on the No.4 engine. A contributing factor was the inadequacy of the hydraulifluid loss emergency procedure when applied against the operating configuration of the aircraft.",40.406303,-74.039908,1969
2340,2340,2340,09/06/1969,05:30,"Korat Air Base, Thailand",Military - U.S. Air Force,Batcat 19,,Lockheed EC121R,67-21495,4491,16.0,4.0,4.0,"Dropped down below the glide path and struck approach lights, 3,000 feet short of the runway during a second approach.",15.5,101.0,1969
2341,2341,2341,09/08/1969,14:00,"Near Medina, Colombia",SATENA,,Bogota - Villavicencio,Douglas DC-3,FAC-685,,28.0,28.0,0.0,"Crashed into a mountain, 30 miles from its destination after being diverted because of a severe storm.",4.510562,-73.350744,1969
2344,2344,2344,09/14/1969,20:33,"Londrina-Parana, Brazil",VASP,,Camp Grande - Londrina - Sao Palo,Douglas DC-3,PP-SPP,15618/27063,21.0,20.0,0.0,"Fifteen minutes after leaving Londina, the port engine was feathered and aircraft returned to Londrina. The plane crashed while attempting a go-around after a failed landing attempt. The only survivor was a crew member thrown clear of the accident.",-23.311288,-51.159502,1969
2346,2346,2346,09/20/1969,16:00,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),,Pleiku - Da Nang,Douglas DC-4 / USAF F-4E,XV-NUG,10860,76.0,74.0,2.0,"Midair collision. The F-4E landed safely. The DC-4 crashed, killing all seventy-five aboard and two on the ground. Misconstrued instructions on landing by the DC-4.",10.433854,105.549927,1969
2350,2350,2350,10/02/1969,07:10,Gulf of Tonkin,Military - U.S. Navy,,,Grumman C-2A,152796,,26.0,26.0,0.0,Crashed while flying from Subi Point in the Philippines to an aircraft carrier.,19.500038,107.364437,1969
2355,2355,2355,11/19/1969,20:20,"Mt. Pilot Knob, Glen Falls, New York",Mohawk Airlines,411,Albany - Glenn Falls,Fairchild-Hiller FH-227B,N7811M,531,14.0,14.0,0.0,"Struck trees on the northwest slope of Pilot Knob Mountain, and impacted a rock cliff, after which the aircraft fell 38ft, becoming lodged between trees. The captain exceeded his clearance limits and flew the aircraft into a severe 'lee side' mountain downdraft at an altitude insufficient for recovery.",40.729987,-74.000498,1969
2357,2357,2357,12/08/1969,20:46,"Near Keratea, Greece",OlympiAirways,,Chania - Athens,Douglas DC-6B,SX-DAE,45540/1016,90.0,90.0,0.0,"The aircraft crashed into Mt. Pan, 25 miles SW of Athens while preparing to land. The flight crew deviated from the proper track and descended below the minimum safe altitude during approach.",37.808099,23.977285,1969
2363,2363,2363,01/05/1970,22:25,"Stockholm, Sweden",Spantax,,Stockholm - Zurich,Convair CV-990-30A-5,EC-BNM,30-10-32,10.0,5.0,0.0,"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.  It was decided to continue the ferry flight to Zurich on three engines.  As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear.",59.325117,18.071093,1970
2384,2384,2384,03/16/1970,11:30,"Near Da Nang, South Vietnam",Military - U.S. Navy,,Taiwan - Da Nang,Lockheed EC-121P,145927,5508,31.0,23.0,0.0,"The pilot tried to stretch the approach to avoid workers on the runway, ran out of runway, attempted a go-around, was unable to gain altitude and crashed into several structures, trucks and a U.S. Navy Jet.",16.068,108.212,1970
2403,2403,2403,06/01/1970,03:12,"Tripoli, Libya",Ceskoslovenske Aerolinie,,,Tupolev TU-104A,OK-NDO,96601803,13.0,13.0,0.0,Undershot runway in fog and crashed after two failed landing attempts. Crew error.,32.896672,13.177792,1970
2408,2408,2408,07/05/1970,08:09,"Toronto, Canada",Air Canada,621,Montreal - Toronto - Los Angeles,McDonnell Douglas DC-8-63,CF-TIW,46114/526,109.0,109.0,0.0,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a seep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed.",43.653482,-79.383935,1970
2411,2411,2411,07/27/1970,11:35,"Tokyo, Japan",Flying Tiger Line,45,Tokyo - Okinawa,McDonnell Douglas DC-8-63AF,N785FT,46005/412,4.0,4.0,0.0,Cargo plane. An unarrested rate of descent due to inattention of the crew to instrument altitude references while the pilot was attempting to establish outside visual contact in meteorological conditions which precluded such contact during that segment of a precision radar approach inbound from the Decision Height.,35.682839,139.759455,1970
2414,2414,2414,08/06/1970,02:17,"Islamabad, Pakistan",Pakistan International Airlines,,Rawalpindi - Lahore,Fokker F-27 Friendship 200,AP-ALM,10163,30.0,30.0,0.0,Crashed into terrain after takeoff in thunderstorms and strong winds.,33.693812,73.065151,1970
2416,2416,2416,08/12/1970,03:44,"Taipei, Taiwan",China Airlines (Taiwan),,Hwa-Lien,NAMC YS-11A-219,B-156,2110,31.0,14.0,0.0,Crashed on Yuan mountain while on approach to Taipei during a thick fog.,25.03752,121.56368,1970
2429,2429,2429,10/02/1970,14:07,"Near Taipei, Taiwan",Military - U.S. Air Force,,Taipei - Ching Chuan Kang,Lockheed C-130E,64-0536,4025,43.0,43.0,0.0,The aircraft struck a mountain ridge 6 minutes after taking off from Taipei. Deviation off course while flying  IFR in zero visibility.,25.047554,121.51705,1970
2430,2430,2430,10/04/1970,15:10,"Mahaffey, Pennsylvania",Private,,"Dubois, PA - Roanoak, VA",Aero Commander 500-B,N701X,,2.0,2.0,0.0,"The aircraft crashed into a mountainside 20 minutes after taking off. NASCAR driver Curtis Turner, 46, was killed along with pro-golfer Clarence King. King was flying the plane and had a blood alcohol of 0.17. Alcoholiimpairment of efficiency and judgment.  Evidence showed the passenger, Turner had a severe heart attack prior to the accident.",40.872841,-78.724196,1970
2437,2437,2437,11/27/1970,17:05,"Anchorage, Alaska",Capital Airlines,26,Anchorage - Yokota AFB,McDonnell Douglas DC-8-63CF,N4909C,46060/472,229.0,47.0,0.0,"The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulifailure.",61.216313,-149.894852,1970
2438,2438,2438,11/27/1970,13:30,"Near Nha Trang, South Vietnam",Military - U.S. Air Force,,Saigon - Nha Trang AB,Fairchild C-123K,55-4574,20236,79.0,79.0,0.0,Crashed into high ground on a mountainside while on a flight from Saigon to Nha Trang Air Base. Cause unknown.,12.243169,109.189868,1970
2439,2439,2439,11/29/1970,14:30,"Near Cam Ranh, South Vietnam",Military - U.S. Air Force,,Cam Ranh Bay AB - Siagon,Fairchild C-123K,54-0649,,44.0,42.0,0.0,Crashed into the jungle 15 miles from it destination as the pilot prepared to land at Saigon in poor weather conditions.,11.91667,109.14861,1970
2452,2452,2452,01/21/1971,07:35,"Near Pacae, Peru",Fuerza Aérea del Peru,,Mazamari - Lima,Curtiss-Wright C-46,FAP-381,,35.0,35.0,0.0,Crashed in the Andes mountains after experiencing engine trouble.,-13.73091,-75.940327,1971
2461,2461,2461,03/31/1971,06:33,"Ontario, California",Western Airlines,366,Los Angeles - Ontairo,Boeing B-720-047B,N3166,19439,5.0,5.0,0.0,"The aircraft, during a training flight suddenly rolled to the left and  crashed after a missed, 3 engine, ILS approach. Failure of the aircraft rudder hydrauliactuator support fitting which led to the loss of left rudder control. Stress corrosion cracks.",34.065846,-117.64843,1971
2463,2463,2463,04/15/1971,07:00,"Near San Jose, Philippines",Military - Philippine Air Force,,Manila - Nichols AFB,Douglas C-47A,293246,13136,40.0,39.0,0.0,"Crashed into a rice field moments after taking off from Basa Air Base near Floridablanca. Climbed to 200 ft. banked to the left, stalled and crashed to the ground. Failure of the right engine. A young boy was the only survivor.",14.816832,120.787786,1971
2472,2472,2472,05/28/1971,11:08,"Roanoke, Virginia",Private,,"Atlanta, GA - Martinsville, VA",Aero Commander 680E,N601JJ,491-161,6.0,6.0,0.0,"The flight crashed into the side of a mountain during a thunderstorm. Continued VFR flight into adverse weather conditions.  Entered instrument weather at too low an altitude to clear mountain.  World War II hero and western movie star Audie Murphy, 46, killed.",37.270973,-79.941431,1971
2476,2476,2476,06/07/1971,08:49,"New Haven, Connecticut",Allegheny Airlines,485,"Washington D.C. - Newport News, VA - Philadelphia",Convair CV-580,N5832,384,31.0,28.0,0.0,"The aircraft crashed into a row of beach houses, 4,980 feet short of the runway. Captain's intentional descent below minima under adverse weather conditions while trying to locate the runway despite advisories from 1st. officer.",41.298434,-72.931023,1971
2477,2477,2477,06/13/1971,13:30,North PacifiOcean,Military - U.S. Air Force,,Hickam AFB - Pango Pango,Boeing - EC-135N,61-0331,18238,24.0,24.0,0.0,Disappeared while en route. Met with an undisclosed catastrophievent and plunged into the sea. Believed to  have struck the surface at high speed.,,,1971
2486,2486,2486,07/30/1971,14:29,"San Francisco, California",Pan American World Airways,845,San Francisco - Los Angeles,Boeing B-747-121,N747PA,19639/2,218.0,0.0,0.0,The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named 'Clipper America.',37.779026,-122.419906,1971
2487,2487,2487,07/30/1971,15:00,"Near Pau, France",Military - French Air Force,,Exercises,Nord 2501 Noratlas,49,,39.0,37.0,0.0,"The plane, carrying parachute trainees, crashed in the flatlands of the Pyrenees during a final approach and after experiencing an engine fire. Two escaped by parachuting out of the plane before it crashed.",43.295755,-0.368567,1971
2490,2490,2490,08/18/1971,09:40,"Near Pegnitz, West Germany",Military - U.S. Army,,Ludwigsburg - Grafenwohr,Boeing Vertol CH-47A (helicopter),66-19023,,37.0,37.0,0.0,"The helicopter, carrying American troops to an exercise, crashed into a hayfield and exploded in flames. Fatigue failure of the rotor blade led to its failure and structural failure of the aircraft.",49.75649,11.540944,1971
2492,2492,2492,12/09/1971,07:00,"Chinnamanur, India",Indian Airlines,,Trivandrum - Madurai,HAL-748-224 Srs.2,VT-DXG,512,31.0,21.0,0.0,Strayed off course and flew into a mountain.,9.840061,77.379602,1971
2493,2493,2493,09/04/1971,11:15,"Near Juneau, Alaska",Alaska Airlines,1866,Anchorage - Seattle,Boeing B-727-193,N2969G,19304/287,111.0,111.0,0.0,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.,58.30195,-134.419734,1971
2499,2499,2499,10/02/1971,11:10,"Near Aarsele, West Vlaanderen, Belgium",British European Airways,706,London - Salzburg,Vickers Vanguard 951,G-APEC,706,63.0,63.0,0.0,"While en route a distress message was received from the aircraft after which it crashed and burst into flames.  The elevators and tailplane were destroyed when the rear pressure bulkhead ruptured at 19,000 feet. The airplane rapidly nosed down and crashed. The bulkhead was weakened by corrosion from a suspected leak in the lavatory.",50.99728,3.422098,1971
2507,2507,2507,11/09/1971,05:40,"Off Livorno, Italy",Military - Royal Air Force,,San Giusto - Sardinia,Lockheed C-130K Hercules,XV216,4243,52.0,52.0,0.0,"The plane, carrying paratroopers, crashed into the Ligurian Sea about 20 miles west of Pisa shortly after taking off from San Giusto Airport. In-flight structural failure. Cause undetermined.",43.550732,10.309126,1971
2511,2511,2511,11/28/1971,13:30,"Near Hue, South Vietnam",Military - U.S. Army,,Da Nang - Camp Eagle,Boeing Vertol CH-47C,68-15866,,34.0,34.0,0.0,Crashed into a mountain after attempting to fly through a lowland area due to deteriorating weather conditions.,16.463801,107.582191,1971
2513,2513,2513,12/04/1971,13:46,"Raleigh, North Carolina",Eastern Air Lines,,"Miami, FL - Raleigh, NC",Douglas DC-9-31 /Cessna 206,N8943E / N2110F,47166/265 / ,29.0,2.0,0.0,Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area.,35.780398,-78.639099,1971
2518,2518,2518,01/07/1972,22:00,"Sierra de Atalayasa, Spain",Iberia Airlines,602,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,EC-ATV,163,104.0,104.0,0.0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.,40.0,-4.0,1972
2522,2522,2522,01/21/1972,10:30,"Near Betania, Colombia",SATENA,,Medellin - Buenaventura,Douglas C-47,FAC-661,,39.0,39.0,0.0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.,4.626665,-74.180343,1972
2523,2523,2523,01/26/1972,16:10,"Near Hermsdorf, Czechoslovakia",JAT Yugoslav Airlines,JU 367,Stockholm - Belgrade,McDonnell Douglas DC-9-32,YU-AHT,47482/592,28.0,27.0,0.0,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovireturned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital.",,,1972
2533,2533,2533,03/03/1972,20:48,"Albany, New York",Mohawk Airlines,405,"New York City - Albany, NY",Fairchild-Hiller FH-227-B,N7818M,541,48.0,16.0,1.0,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined.",42.651167,-73.754968,1972
2539,2539,2539,04/12/1972,21:26,"Near Rio de Janeiro, Brazil",VASP,,Sao Paulo - Rio de Janeiro,NAMC YS-11A-211,PP-SMI,2059,25.0,25.0,0.0,"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach.",-22.911014,-43.209373,1972
2540,2540,2540,04/16/1972,22:10,Near Ardinello di Amaseno,Aero Transporti Italiani,,Rome - Foggia,Fokker F-27 Friendship 200,I-ATIP,10251,18.0,18.0,0.0,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.,,,1972
2547,2547,2547,05/05/1972,22:24,"Near Carini, Sicily, Italy",Alitalia,112,Rome - Palermo,McDonnell Douglas DC-8-43,I-DIWB,45625/150,115.0,115.0,0.0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffiregulations. The aircraft was named Antonio Pigafetta.,38.131172,13.181885,1972
2549,2549,2549,05/10/1972,10:25,"Near Gia Dinh, South Vietnam",Military - U.S. Army,,Bien Hoa - Vung Tau,Boeing Vertol CH47A (helicopter),,,34.0,34.0,0.0,Metal fatigue of the spar in a blade led to separation of the blade and loss of control of the aircraft.,10.785463,106.730181,1972
2555,2555,2555,05/30/1972,06:24,"Dallas/Ft. Worth, Texas",Delta Air Lines,9570,Training,McDonnell Douglas DC-9-14,N3305L,45700,4.0,4.0,0.0,While practicing touch and go landing the aircraft crashed after getting caught in the wake turbulence of a DC-10. An encounter with a trailing vortex generated by a preceding 'heavy' jet which resulted in an involuntary loss of control of the airplane during final approach. Although cautioned to expect turbulence the crew did not have sufficient information to evaluate accurately the hazard or the possible location of the vortex. Existing FAA procedures for controlling VFR flight did not provide the same protection from a vortex encounter as was provided to flights being given radar vectors in either IFR or VFR conditions.,32.736496,-97.440186,1972
2562,2562,2562,06/14/1972,20:20,"Near New Delhi, India",Japan Air Lines,471,Bangkok - Delhi,McDonnell Douglas DC-8-53,JA8012,45860/213,87.0,82.0,4.0,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain.,28.613895,77.209006,1972
2565,2565,2565,06/18/1972,23:55,"Huê, Vietnam",Military - U.S. Air Force,,,Lockheed AC-130A Hercules,55-0043,3070,15.0,12.0,0.0,Struck by a surface-to-air missile while landing.,16.463801,107.582191,1972
2567,2567,2567,06/18/1972,16:11,"London Heathrow,  Staines, Surrey, England",British European Airways,548,London - Brussels,Hawker Siddeley Trident 1C,G-ARPI,2109,118.0,118.0,0.0,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage.,51.216527,-0.450533,1972
2579,2579,2579,08/12/1972,04:00,"Near SoTrang, South Vietnam",Military - U.S. Air Force,,,Lockheed C-130E,62-1853,3817,44.0,30.0,0.0,The aircraft was hit by small arms fire shortly after taking off from SoTrang Air Base.,,,1972
2584,2584,2584,08/28/1972,14:30,"Papua, New Guinea",Military - Royal Australian Air Force,,Lae - Port Moresby,de Havilland Canada DHC-4 Caribou,A4-233,,29.0,25.0,0.0,"While traveling through a valley, the pilot reversed his course after the weather deteriorated. He began to climb but clipped trees just below a ridge, lost control of the aircraft and crashed. The pilot's error in judgement in not flying about the poor weather in the valley.",-5.522593,142.08709,1972
2588,2588,2588,09/10/1972,10:20,"Gondar, Ethiopia",Ethiopian Airlines,,Axum - Gondar,Douglas DC-3,ET-ABQ,4325,11.0,11.0,0.0,Crashed after a wing separated from the fuselage.,12.610368,37.466766,1972
2594,2594,2594,10/02/1972,18:00,"Near Adler, Russia",Aeroflot,,Adler - Moscow,Ilyushin IL-18B,CCCP-75507,183006405,109.0,109.0,0.0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.",43.425383,39.923704,1972
2596,2596,2596,10/13/1972,21:50,"Near Krasnaya Polyana, USSR",Aeroflot,,Leningrad - Moscow,Ilyushin IL-62,CCCP-86671,70301,174.0,174.0,0.0,The aircraft crashed at the outer marker while attempting to land for the third time in poor weather conditions.  Sudden incapacitation of the crew for reasons unknown.,,,1972
2598,2598,2598,10/16/1972,09:00,Off the Alaska coast,Private,,"Anchorage, AK - Juneau, AK",Cessna 310C,N1812H,35912,4.0,4.0,0.0,"The plane was on a flight from Anchorage to Juneau when it disappeared as it was approaching the Chugach Mountain range.  The weather along the prescribed route was not condusive to VFR flight.  Louisiana Congressman and House Majority Leader Hale Boggs, Alaska Congressman Nick Begich and his aide killed. Cause unknown.",-28.029881,153.403637,1972
2599,2599,2599,10/21/1972,09:00,"Off Athens, Greece",OlympiAirways,,Kerkira - Athens,NAMC YS-11A-202,SX-BBQ,2155,53.0,37.0,0.0,Crashed into the sea just short of the runway while on approach in poor visibility.,37.983941,23.728305,1972
2603,2603,2603,10/31/1972,18:00,"Near My Tho, South Vietnam",Military - U.S. Army,,,Boeing Vertol CH-47 (helicopter),,,22.0,22.0,0.0,Shot down by enemy fire over the Mekong Delta region.,10.36062,106.365844,1972
2606,2606,2606,11/28/1972,19:51,"Near Moscow, Russia",Japan Air Lines,446,Moscow - Tokyo,McDonnell Douglas DC-8-62,JA8040,46057/474,76.0,62.0,0.0,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's 'gear-up' command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before.",55.750446,37.617494,1972
2608,2608,2608,12/03/1972,06:45,"Tenerife,  Canary Islands",Spantax,,Tenerife - Munchen,Convair CV-990-30A-5 Coronado,EC-BZR,30-10-25,155.0,155.0,0.0,Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility.,28.293578,-16.621447,1972
2609,2609,2609,12/05/1972,15:05,"Beni Sueif, Egypt",EgyptAir,,Training,Boeing 707-336C,SU-AOW,19845/809,6.0,6.0,0.0,Crashed after the No. 4 engine separated from the plane.,29.072981,31.098256,1972
2614,2614,2614,12/08/1972,14:28,"Chicago, Midway Airport, Illinois",United Air Lines,553,Washington - Chicago,Boeing B-737-222,N9031U,19069/75,61.0,43.0,2.0,"The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of  Watergates E. Howard Hunt, Dorothy Hunt, also killed.",41.43154,-88.24731,1972
2620,2620,2620,12/29/1972,23:42,"Everglades National Park, Florida",Eastern Air Lines,401,New York City - Miami,Lockheed L-1011 TriStar1,N310EA,1011,176.0,103.0,0.0,"The crew was preoccupied with a landing gear problem and was trying to replace the landing gear light while on autopilot and in a holding pattern. As the captain got up to help, he inadvertently pushed on the yoke releasing the autopilot. With no ground reference and  under nighttime conditions, the aircraft gradually descended until it crashed into Everglades, 18.7 miles west-northwest of Miami . The failure of the crew to monitor the flight instruments during the final 4 minutes of flight, and to detect a descent soon enough to prevent impact with the ground. After spare parts from the L-1011 were used on other planes, apparitions of the captain, Robert Loft and flight engineer, Don Repo began to be reported by Eastern employees. The book 'The Ghost of Flight 401'and movies 'The Ghost of Flight 401' and 'Crash' are based on this accident. Three passengers and one crew member died in weeks following the accident making the total 103.",26.424379,-81.780467,1972
2623,2623,2623,01/19/1973,14:31,"Near Glasgow, England",British European Airways,,Test flight,Vickers 802 Viscount,G-AOHI,158,4.0,4.0,0.0,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions.,54.518431,-2.125726,1973
2624,2624,2624,01/22/1973,01:00,"Perm, Russia",Aeroflot,,,Antonov An-24B,CCCP-46276,77303609,44.0,44.0,0.0,The plane went into a spiral dive. As the crew tried to pull the plane out it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued.,58.59516,56.315955,1973
2630,2630,2630,02/19/1973,10:06,"Prague, Czechoslovakia",Aeroflot,,Moscow - Praha,Tupolev TU-154,CCCP-85023,023,100.0,66.0,0.0,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane.,,,1973
